title	Problem:	Implication:	Workaround:	Status:
  Address Reported by Machine-Check Architecture (MCA) on Single-bit L2 ECC Errors May Be Incorrect  	  When correctable Single-bit ECC errors occur in the L2 cache, the address is logged in the MCA address register (MCi_ADDR). Under some scenarios, the address reported may be incorrect.  	 Software should not rely on the value reported in MCi_ADDR, for single-bit L2 ECC errors. 	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  Code Segment Limit/Canonical Faults on RSM May Be Serviced before Higher Priority Interrupts/Exceptions  	  Normally, when the processor encounters a Segment Limit or Canonical Fault due to code execution, a #GP (General Protection Exception) fault is generated after all higher priority Interrupts and exceptions are serviced. Due to this erratum, if RSM (Resume from System Management Mode) returns to execution flow that results in a Code Segment Limit or Canonical Fault, the #GP fault may be serviced before a higher priority Interrupt or Exception (e.g., NMI (Non-Maskable Interrupt), Debug break (#DB), Machine Check (#MC), etc.)  	 Operating systems may observe a #GP fault being serviced before higher priority Interrupts and Exceptions. Intel has not observed this erratum on any commerciallyavailable software. 	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  Store Ordering May Be Incorrect between WC and WP Memory Type  	  According to Intel® 64 and IA-32 Intel Architecture Software Developer's Manual, Volume 3A “Methods of Caching Available,” WP (Write Protected) stores should drain the WC (Write Combining) buffers in the same way as UC (Uncacheable) memory type stores do. Due to this erratum, WP stores may not drain the WC buffers.  	 Memory ordering may be violated between WC and WP stores. 	 None identified. 	  24  For the steppings affected, see the Summary Tables of Changes.   
  EFLAGS, CR0, CR4 and the EXF4 Signal May Be Incorrect after Shutdown  	  When the processor is going into shutdown due to an RSM inconsistency failure, EFLAGS, CR0 and CR4 may be incorrect. In addition the EXF4 signal may still be asserted. This may be observed if the processor is taken out of shutdown by NMI#.  	 A processor that has been taken out of shutdown may have an incorrect EFLAGS, CR0 and CR4. In addition the EXF4 signal may still be asserted. 	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  Premature Execution of a Load Operation Prior to Exception Handler Invocation  	  If any of the below circumstances occur, it is possible that the load portion of the instruction will have executed before the exception handler is entered: • If an instruction that performs a memory load causes a code segment limit violation. • If a waiting X87 floating-point (FP) instruction or MMX technology (MMX) instruction that performs a memory load has a floating-point exception pending. • If an MMX or SSE/SSE2/SSE3/SSSE3 extensions (SSE) instruction that performs a memory load and has either CR0.EM=1 (Emulation bit set), or a floating-point Top-of-Stack (FP TOS) not equal to 0, or a DNA exception pending.  	 In normal code execution where the target of the load operation is to write back memory there is no impact from the load being prematurely executed, or from the restart and subsequent re-execution of that instruction by the exception handler. If the target of the load is to uncached memory that has a system side-effect, restarting the instruction may cause unexpected system behavior due to the repetition of the side-effect. Particularly, while CR0.TS [bit 3] is set, a MOVD/MOVQ with MMX/XMM register operands may issue a memory load before getting the DNA exception. 	 Code which performs loads from memory that has side-effects can effectively workaround this behavior by using simple integer-based load instructions when accessing side-effect memory and by ensuring that all code is written such that a code segment limit violation cannot occur as a part of reading from side-effect memory. 	  For the steppings affected, see the Summary Tables of Changes.   25  
  Performance Monitoring Events for Retired Instructions (C0H) May Not Be Accurate  	  The INST_RETIRED performance monitor may miscount retired instructions as follows: • Repeat string and repeat I/O operations are not counted when a hardware interrupt is received during or after the last iteration of the repeat flow. • VMLAUNCH and VMRESUME instructions are not counted. • HLT and MWAIT instructions are not counted. The following instructions, if executed during HLT or MWAIT events, are also not counted: a) RSM from a C-state SMI during an MWAIT instruction. b) RSM from an SMI during a HLT instruction.  	 There may be a smaller than expected value in the INST_RETIRED performance monitoring counter. The extent to which this value is smaller than expected is determined by the frequency of the above cases. 	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  Returning to Real Mode from SMM with EFLAGS.VM Set May Result in Unpredictable System Behavior  	  Returning back from SMM mode into real mode while EFLAGS.VM is set in SMRAM may result in unpredictable system behavior.  	 If SMM software changes the values of the EFLAGS.VM in SMRAM, it may result in unpredictable system behavior. Intel has not observed this behavior in commerciallyavailable software. 	 SMM software should not change the value of EFLAGS.VM in SMRAM. 	  For the steppings affected, see the Summary Tables of Changes. 
  CMPSB, LODSB, or SCASB in 64-bit Mode with Count Greater or Equal to 248 May Terminate Early  	  In 64-bit Mode CMPSB, LODSB, or SCASB executed with a repeat prefix and count greater than or equal to 248 may terminate early. Early termination may result in one of the following. • The last iteration not being executed • Signaling of a canonical limit fault (#GP) on the last iteration  	 While in 64-bit mode, with count greater or equal to 248, repeat string operations CMPSB, LODSB or SCASB may terminate without completing the last iteration. Intel has not observed this erratum with any commercially-available software. 	 Do not use repeated string operations with RCX greater than or equal to 248. 	  26  For the steppings affected, see the Summary Tables of Changes.   
  Writing the Local Vector Table (LVT) When an Interrupt Is Pending May Cause an Unexpected Interrupt  	  If a local interrupt is pending when the LVT entry is written, an interrupt may be taken on the new interrupt vector even if the mask bit is set.  	 An interrupt may immediately be generated with the new vector when a LVT entry is written, even if the new LVT entry has the mask bit set. If there is no Interrupt Service Routine (ISR) set up for that vector the system will GP fault. If the ISR does not do an End of Interrupt (EOI) the bit for the vector will be left set in the in-service register and mask all interrupts at the same or lower priority. 	 Any vector programmed into an LVT entry must have an ISR associated with it, even if that vector was programmed as masked. This ISR routine must do an EOI to clear any unexpected interrupts that may occur. The ISR associated with the spurious vector does not generate an EOI, therefore the spurious vector should not be used when writing the LVT. 	  For the steppings affected, see the Summary Tables of Changes. 
  Pending x87 FPU Exceptions (#MF) Following STI May Be Serviced before Higher Priority Interrupts  	  Interrupts that are pending prior to the execution of the STI (Set Interrupt Flag) instruction are serviced immediately after the STI instruction is executed. Because of this erratum, if following STI, an instruction that triggers a #MF is executed while STPCLK#, Enhanced Intel SpeedStep® Technology transitions or Thermal Monitor 1 events occur, the pending #MF may be serviced before higher priority interrupts. Software may observe #MF being serviced before higher priority interrupts.  	NA	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  VERW/VERR/LSL/LAR Instructions May Unexpectedly Update the Last Exception Record (LER) MSR  	  The LER MSR may be unexpectedly updated, if the resultant value of the Zero Flag (ZF) is zero after executing the following instructions: 1.  VERR (ZF=0 indicates unsuccessful segment read verification)  2.  VERW (ZF=0 indicates unsuccessful segment write verification)  3.  LAR (ZF=0 indicates unsuccessful access rights load)  4.  LSL (ZF=0 indicates unsuccessful segment limit load)  	 The value of the LER MSR may be inaccurate if VERW/VERR/LSL/LAR instructions are executed after the occurrence of an exception. 	 Software exception handlers that rely on the LER MSR value should read the LER MSR before executing VERW/VERR/LSL/LAR instructions. 	  For the steppings affected, see the Summary Tables of Changes.   27  
  INIT Does Not Clear Global Entries in the TLB  	  INIT may not flush a TLB entry when: • The processor is in protected mode with paging enabled and the page global enable flag is set (PGE bit of CR4 register). • G bit for the page table entry is set. • TLB entry is present in TLB when INIT occurs. • Software may encounter unexpected page fault or incorrect address translation due to a TLB entry erroneously left in TLB after INIT.  	NA	 Write to CR3, CR4 (setting bits PSE, PGE or PAE) or CR0 (setting bits PG or PE) registers before writing to memory early in BIOS code to clear all the global entries from TLB. 	  For the steppings affected, see the Summary Tables of Changes. 
  Split Locked Stores May Not Trigger the Monitoring Hardware  	  Logical processors normally resume program execution following the MWAIT, when another logical processor performs a write access to a WB cacheable address within the address range used to perform the MONITOR operation. Due to this erratum, a logical processor may not resume execution until the next targeted interrupt event or O/S timer tick following a locked store that spans across cache lines within the monitored address range.  	 The logical processor that executed the MWAIT instruction may not resume execution until the next targeted interrupt event or O/S timer tick in the case where the monitored address is written by a locked store which is split across cache lines. 	 Do not use locked stores that span cache lines in the monitored address range. 	  For the steppings affected, see the Summary Tables of Changes. 
  Programming the Digital Thermal Sensor (DTS) Threshold May Cause Unexpected Thermal Interrupts  	  Software can enable DTS thermal interrupts by programming the thermal threshold and setting the respective thermal interrupt enable bit. When programming DTS value, the previous DTS threshold may be crossed. This will generate an unexpected thermal interrupt.  	 Software may observe an unexpected thermal interrupt occur after reprogramming the thermal threshold. 	 In the ACPI/OS implement a workaround by temporarily disabling the DTS threshold interrupt before updating the DTS threshold value. 	  28  For the steppings affected, see the Summary Tables of Changes.   
  Writing Shared Unaligned Data that Crosses a Cache Line without Proper Semaphores or Barriers May Expose a Memory Ordering Issue  	  Software which is written so that multiple agents can modify the same shared unaligned memory location at the same time may experience a memory ordering issue if multiple loads access this shared data shortly thereafter. Exposure to this problem requires the use of a data write which spans a cache line boundary.  	 This erratum may cause loads to be observed out of order. Intel has not observed this erratum with any commercially-available software or system. 	 Software should ensure at least one of the following is true when modifying shared data by multiple agents: • The shared data is aligned • Proper semaphores or barriers are used in order to prevent concurrent data accesses. 	  For the steppings affected, see the Summary Tables of Changes. 
  General Protection (#GP) Fault May Not Be Signaled on Data Segment Limit Violation above 4-G Limit  	  In 32-bit mode, memory accesses to flat data segments (base = 00000000h) that occur above the 4-G limit (0ffffffffh) may not signal a #GP fault.  	 When such memory accesses occur in 32-bit mode, the system may not issue a #GP fault. 	 Software should ensure that memory accesses in 32-bit mode do not occur above the 4-G limit (0ffffffffh). 	  For the steppings affected, see the Summary Tables of Changes. 
  An Asynchronous MCE during a Far Transfer May Corrupt ESP  	  If an asynchronous machine check occurs during an interrupt, call through gate, FAR RET or IRET and in the presence of certain internal conditions, ESP may be corrupted.  	 If the MCE (Machine Check Exception) handler is called without a stack switch, then a triple fault will occur due to the corrupted stack pointer, resulting in a processor shutdown. If the MCE is called with a stack switch, e.g., when the CPL (Current Privilege Level) was changed or when going through an interrupt task gate, then the corrupted ESP will be saved on the new stack or in the TSS (Task State Segment), and will not be used. 	 Use an interrupt task gate for the machine check handler. 	  For the steppings affected, see the Summary Tables of Changes.   29  
  CPUID Reports Architectural Performance Monitoring Version 2 Is Supported, When Only Version 1 Capabilities Are Available  	  CPUID leaf 0Ah reports the architectural performance monitoring version that is available in EAX[7:0]. Due to this erratum CPUID reports the supported version as 2 instead of 1.  	 Software will observe an incorrect version number in CPUID.0Ah.EAX [7:0] in comparison to which features are actually supported. 	 Software should use the recommended enumeration mechanism described in the Architectural Performance Monitoring section of the Intel® 64 and IA-32 Architectures Software Developer's Manual, Volume 3: System Programming Guide. 	  For the steppings affected, see the Summary Tables of Changes. 
  B0-B3 Bits in DR6 May Not Be Properly Cleared after Code Breakpoint  	  B0-B3 bits (breakpoint conditions detect flags, Bits [3:0]) in DR6 may not be properly cleared when the following sequence happens: 1.  POP instruction to SS (Stack Segment) selector;  2.  Next instruction is FP (Floating Point) that gets FP assist followed by code breakpoint.  	 B0-B3 bits in DR6 may not be properly cleared. 	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  An xTPR Update Transaction Cycle, If Enabled, May Be Issued to the FSB after the Processor Has Issued a Stop-Grant Special Cycle  	  According to the FSB (Front Side Bus) protocol specification, no FSB cycles should be issued by the processor once a Stop-Grant special cycle has been issued to the bus. If xTPR update transactions are enabled by clearing the IA32_MISC_ENABLES[bit 23] at the time of Stop-Clock assertion, an xTPR update transaction cycle may be issued to the FSB after the processor has issued a Stop Grant Acknowledge transaction.  	 When this erratum occurs in systems using C-states C2 (Stop-Grant State) and higher the result could be a system hang. 	 BIOS must leave the xTPR update transactions disabled (default). 	  30  For the steppings affected, see the Summary Tables of Changes.   
  Performance Monitoring Event IA32_FIXED_CTR2 May Not Function Properly When Max Ratio Is a Non-Integer Core-to-Bus Ratio  	  Performance Counter IA32_FIXED_CTR2 (MSR 30BH) event counts CPU reference clocks when the core is not in a halt state. This event is not affected by core frequency changes (e.g., P states, TM2 transitions) but counts at the same frequency as the Time-Stamp Counter IA32_TIME_STAMP_COUNTER (MSR 10H). Due to this erratum, the IA32_FIXED_CTR2 will not function properly when the non-integer core-to-bus ratio multiplier feature is used and when a non-zero value is written to IA32_ FIXED_CTR2. Non-integer core-to-bus ratio enables additional operating frequencies. This feature can be detected by IA32_PLATFORM_ID (MSR 17H) bit [23].  	 The Performance Monitoring Event IA32_FIXED_CTR2 may result in an inaccurate count when the non-integer core-to-bus multiplier feature is used. 	 If writing to IA32_FIXED_CTR2 and using a non-integer core-to-bus ratio multiplier, always write a zero. 	  For the steppings affected, see the Summary Tables of Changes. 
  Instruction Fetch May Cause a Livelock during Snoops of the L1 Data Cache  	  A livelock may be observed in rare conditions when instruction fetch causes multiple level one data cache snoops.  	 Due to this erratum, a livelock may occur. Intel has not observed this erratum with any commercially-available software. 	 It is possible for BIOS to contain a workaround for this erratum. 	  For the steppings affected, see the Summary Tables of Changes.   31  
  Use of Memory Aliasing with Inconsistent Memory Type May Cause a System Hang or a Machine Check Exception  	  Software that implements memory aliasing by having more than one, linear address mapped to the same physical page with different cache types may cause the system to hang or to report a machine check exception (MCE). This would occur if one of the addresses is non-cacheable and used in a code segment and the other is a cacheable address. If the cacheable address finds its way into the instruction cache, and the non-cacheable address is fetched in the IFU, the processor may invalidate the noncacheable address from the fetch unit. Any micro-architectural event that causes instruction restart will be expecting this instruction to still be in the fetch unit and lack of it will cause a system hang or an MCE.  	 This erratum has not been observed with commercially-available software. 	 Although it is possible to have a single physical page mapped by two different linear addresses with different memory types, Intel has strongly discouraged this practice as it may lead to undefined results. Software that needs to implement memory aliasing should manage the memory type consistency. 	  For the steppings affected, see the Summary Tables of Changes. 
  A WB Store Following a REP STOS/MOVS or FXSAVE May Lead to Memory-Ordering Violations  	  Under certain conditions, as described in the section titled section “Out-of-Order Stores for String Operations in Pentium 4, Intel Xeon, and P6 Family Processors,” from the Intel® 64 and IA-32 Architectures Software Developer's Manual, Volume 3A: System Programming Guide, the processor may perform REP MOVS or REP STOS as write combining stores (referred to as “fast strings”) for optimal performance. FXSAVE may also be internally implemented using write combining stores. Due to this erratum, stores of a WB (write back) memory type to a cache line previously written by a preceding fast string/FXSAVE instruction may be observed before string/FXSAVE stores.  	 A write-back store may be observed before a previous string or FXSAVE related store. Intel has not observed this erratum with any commercially-available software. 	 Software desiring strict ordering of string/FXSAVE operations relative to subsequent write-back stores should add an MFENCE or SFENCE instruction between the string/ FXSAVE operation and following store-order sensitive code such as that used for synchronization. 	  32  For the steppings affected, see the Summary Tables of Changes.   
  VM Exit with Exit Reason “TPR below Threshold” Can Cause the Blocking by MOV/POP SS and Blocking by STI Bits to Be Cleared in the Guest Interruptibility-State Field  	  As specified in Section, “VM Exits Induced by the TPR Shadow”, in the Intel® 64 and IA-32 Architectures Software Developer's Manual, Volume 3B, a VM exit occurs immediately after any VM entry performed with the “use TPR shadow”, “activate secondary controls”, and “virtualize APIC accesses” VM-execution controls all set to 1 and with the value of the TPR shadow (bits 7:4 in byte 80H of the virtual-APIC page) less than the TPR-threshold VM-execution control field. Due to this erratum, such a VM exit will clear bit 0 (blocking by STI) and bit 1 (blocking by MOV/POP SS) of the interruptibility-state field of the guest-state area of the VMCS (Bit 0 - blocking by STI and bit 1 - blocking by MOV/POP SS should be left unmodified).  	 Since the STI, MOV SS, and POP SS instructions cannot modify the TPR shadow, bits 1:0 of the interruptibility-state field will usually be zero before any VM entry meeting the preconditions of this erratum; behavior is correct in this case. However, if VMM software raises the value of the TPR-threshold VM-execution control field above that of the TPR shadow while either of those bits is 1, incorrect behavior may result. This may lead to VMM software prematurely injecting an interrupt into a guest. Intel has not observed this erratum with any commercially-available software. 	 VMM software raising the value of the TPR-threshold VM-execution control field should compare it to the TPR shadow. If the threshold value is higher, software should not perform a VM entry; instead, it could perform the actions that it would normally take in response to a VM exit with exit reason “TPR below threshold”. 	  For the steppings affected, see the Summary Tables of Changes. 
  Using Memory Type Aliasing with Cacheable and WC Memory Types May Lead to Memory Ordering Violations  	  Memory type aliasing occurs when a single physical page is mapped to two or more different linear addresses, each with different memory types. Memory type aliasing with a cacheable memory type and WC (write combining) may cause the processor to perform incorrect operations leading to memory ordering violations for WC operations.  	 Software that uses aliasing between cacheable and WC memory types may observe memory ordering errors within WC memory operations. Intel has not observed this erratum with any commercially-available software. 	 None identified. Intel does not support the use of cacheable and WC memory type aliasing, and WC operations are defined as weakly ordered. 	  For the steppings affected, see the Summary Tables of Changes.   33  
  VM Exit Caused by a SIPI Results in Zero Being Saved to the Guest RIP Field in the VMCS  	  If a logical processor is in VMX non-root operation and in the wait-for-SIPI state, an occurrence of a start-up IPI (SIPI) causes a VM exit. Due to this erratum, such VM exits always save zero into the RIP field of the guest-state area of the virtual-machine control structure (VMCS) instead of the value of RIP before the SIPI was received.  	 In the absence of virtualization, a SIPI received by a logical processor in the wait-forSIPI state results in the logical processor starting execution from the vector sent in the SIPI regardless of the value of RIP before the SIPI was received. A virtualmachine monitor (VMM) responding to a SIPI-induced VM exit can emulate this behavior because the SIPI vector is saved in the lower 8 bits of the exit qualification field in the VMCS. Such a VMM should be unaffected by this erratum. A VMM that does not emulate this behavior may need to recover the old value of RIP through alternative means. Intel has not observed this erratum with any commerciallyavailable software. 	 VMM software that may respond to SIPI-induced VM exits by resuming the interrupt guest context without emulating the non-virtualized SIPI response should: 1.  Save from the VMCS (using VMREAD) the value of RIP before any VM entry to the wait-for SIPI state.  2.  Restore to the VMCS (using VMWRITE) that value before the next VM entry that resumes the guest in any state other than wait-for-SIPI.  	  For the steppings affected, see the Summary Tables of Changes. 
  NMIs May Not Be Blocked by a VM-Entry Failure  	  The Intel® 64 and IA-32 Architectures Software Developer's Manual, Volume 3B: System Programming Guide, Part 2 specifies that, following a VM-entry failure during or after loading guest state, “the state of blocking by NMI is what it was before VM entry.” If non-maskable interrupts (NMIs) are blocked and the “virtual NMIs” VMexecution control set to 1, this erratum may result in NMIs not being blocked after a VM-entry failure during or after loading guest state.  	 VM-entry failures that cause NMIs to become unblocked may cause the processor to deliver an NMI to software that is not prepared for it. 	 VMM software should configure the virtual-machine control structure (VMCS) so that VM-entry failures do not occur. 	  34  For the steppings affected, see the Summary Tables of Changes.   
  Partial Streaming Load Instruction Sequence May Cause the Processor to Hang  	  Under some rare conditions, when multiple streaming load instructions (MOVNTDQA) are mixed with non-streaming loads that split across cache lines, the processor may hang.  	 Under the scenario described above, the processor may hang. Intel has not observed this erratum with any commercially-available software. 	 It is possible for the BIOS to contain a workaround for this erratum. However, streaming behavior may be re-enabled by setting Bit 5 to Bit 1 of the MSR at address 0 x 21 for software development or testing purposes. If this bit is changed, then a read-modify-write should be performed to preserve other bits of this MSR. When the streaming behavior is enabled and using streaming load instructions, always consume a full cache line worth of data and/or avoid mixing them with non-streaming memory references. If streaming loads are used to read partial cache lines, and mixed with non-streaming memory references, use fences to isolate the streaming load operations from non-streaming memory operations. 	  For the steppings affected, see the Summary Tables of Changes. 
  Self/Cross Modifying Code May Not Be Detected or May Cause a Machine Check Exception  	  If instructions from at least three different ways in the same instruction cache set exist in the pipeline combined with some rare internal state, self-modifying code (SMC) or cross-modifying code may not be detected and/or handled.  	 An instruction that should be overwritten by another instruction while in the processor pipeline may not be detected/modified, and could retire without detection. Alternatively the instruction may cause a Machine Check Exception. Intel has not observed this erratum with any commercially-available software. 	 It is possible for the BIOS to contain a workaround for this erratum. 	  For the steppings affected, see the Summary Tables of Changes. 
  Data TLB Eviction Condition in the Middle of a Cacheline Split Load Operation May Cause the Processor to Hang  	  If the TLB translation gets evicted while completing a cacheline split load operation, under rare scenarios the processor may hang.  	 The cacheline split load operation may not be able to complete normally, and the machine may hang and generate Machine Check Exception. Intel has not observed this erratum with any commercially-available software. 	 It is possible for the BIOS to contain a workaround for this erratum. 	  For the steppings affected, see the Summary Tables of Changes.   35  
  Update of Read/Write (R/W) or User/Supervisor (U/S) or Present (P) Bits without TLB Shootdown May Cause Unexpected Processor Behavior  	  Updating a page table entry by changing R/W, U/S or P bits, even when transitioning these bits from 0 to 1, without keeping the affected linear address range coherent with all TLB (Translation Lookaside Buffers) and paging-structures caches in the processor, in conjunction with a complex sequence of internal processor microarchitectural events and store operations, may lead to unexpected processor behavior.  	 This erratum may lead to livelock, shutdown or other unexpected processor behavior. Intel has not observed this erratum with any commercially-available software. 	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  RSM Instruction Execution under Certain Conditions May Cause Processor Hang or Unexpected Instruction Execution Results  	  RSM instruction execution, under certain conditions triggered by a complex sequence of internal processor micro-architectural events, may lead to processor hang, or unexpected instruction execution results.  	 In the above sequence, the processor may live lock or hang, or RSM instruction may restart the interrupted processor context through a nondeterministic EIP offset in the code segment, resulting in unexpected instruction execution, unexpected exceptions or system hang. Intel has not observed this erratum with any commercially-available software. 	 It is possible for the BIOS to contain a workaround for this erratum. 	  For the steppings affected, see the Summary Tables of Changes. 
  Benign Exception after a Double Fault May Not Cause a Triple Fault Shutdown  	  According to the Intel® 64 and IA-32 Architectures Software Developer's Manual, Volume 3A, “Exception and Interrupt Reference,” if another exception occurs while attempting to call the double-fault handler, the processor enters shutdown mode. Due to this erratum, any benign faults while attempting to call double-fault handler will not cause a shutdown. However, Contributory Exceptions and Page Faults will continue to cause a triple fault shutdown.  	 If a benign exception occurs while attempting to call the double-fault handler, the processor may hang or may handle the benign exception. Intel has not observed this erratum with any commercially-available software. 	 None identified. 	  36  For the steppings affected, see the Summary Tables of Changes.   
  LER MSRs May Be Incorrectly Updated  	  The LER (Last Exception Record) MSRs, MSR_LER_FROM_LIP (1DDH) and MSR_LER_TO_LIP (1DEH) may contain incorrect values after any of the following: • Either STPCLK#, NMI (NonMaskable Interrupt) or external interrupts • CMP or TEST instructions with an uncacheable memory operand followed by a conditional jump • STI/POP SS/MOV SS instructions followed by CMP or TEST instructions and then by a conditional jump  	 When the conditions for this erratum occur, the value of the LER MSRs may be incorrectly updated. 	 None identified 	  For the steppings affected, see the Summary Tables of Changes. 
  Processor May Unexpectedly Assert False THERMTRIP# after Receiving a Warm Reset  	  Some processors may unexpectedly assert a false THERMTRIP# after a warm reset under certain environmental and operating conditions. Intel has observed this on a limited number of parts when they are operating at a core-to-bus ratio different from the ratio used at power-on. The issue is due to a thermal sensor circuit timing marginality event that causes the sensor to initiate a thermal shutdown. Under these conditions, upon RESET# assertion, some processors may assert a false THERMTRIP# even though their temperature is below normal THERMTRIP# activation temperature. A warm reset is different from a cold/power-on reset in that PWRGOOD remains active throughout the assertion of RESET#.  	 This issue may be observed during warm reset cycle testing or during the process of repeatedly entering and exiting the S3/S4/S5 sleep states. When this issue occurs, the processor may proceed with a thermal shutdown signaled by the assertion of processor THERMTRIP# and the platform will remove power from the CPU or the entire platform. 	 A BIOS update can be implemented to address this erratum. Note: This workaround does not cover all system configurations where warm resets are initiated by Intel® AMT. 	  For the steppings affected, see the Summary Tables of Changes. 
  Short Nested Loops That Span Multiple 16-Byte Boundaries May Cause a Machine Check Exception or a System Hang  	  Under a rare set of timing conditions and address alignment of instructions in a short nested loop sequence, software that contains multiple conditional jump instructions and spans multiple 16-byte boundaries, may cause a machine check exception or a system hang.  	 Due to this erratum, a machine check exception or a system hang may occur.   37   	 It is possible for the BIOS to contain a workaround for this erratum. 	  For the steppings affected, see the Summary Tables of Changes. 
  IA32_MC1_STATUS MSR Bit[60] Does Not Reflect Machine Check Error Reporting Enable Correctly  	  IA32_MC1_STATUS MSR (405H) bit[60] (EN- Error Enabled) is supposed to indicate whether the enable bit in the IA32_MC1_CTL MSR (404H) was set at the time of the last update to the IA32_MC1_STATUS MSR. Due to this erratum, IA32_MC1_STATUS MSR bit[60] instead reports the current value of the IA32_MC1_CTL MSR enable bit.  	 IA32_MC1_STATUS MSR bit [60] may not reflect the correct state of the enable bit in the IA32_MC1_CTL MSR at the time of the last update. 	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  An Enabled Debug Breakpoint or Single Step Trap May Be Taken after MOV SS/POP SS Instruction if it is Followed by an Instruction That Signals a Floating Point Exception  	  A MOV SS/POP SS instruction should inhibit all interrupts including debug breakpoints until after execution of the following instruction. This is intended to allow the sequential execution of MOV SS/POP SS and MOV [r/e]SP, [r/e]BP instructions without having an invalid stack during interrupt handling. However, an enabled debug breakpoint or single step trap may be taken after MOV SS/POP SS if this instruction is followed by an instruction that signals a floating point exception rather than a MOV [r/e]SP, [r/e]BP instruction. This results in a debug exception being signaled on an unexpected instruction boundary since the MOV SS/POP SS and the following instruction should be executed atomically.  	 This can result in incorrect signaling of a debug exception and possibly a mismatched Stack Segment and Stack Pointer. If MOV SS/POP SS is not followed by a MOV [r/e]SP, [r/e]BP, there may be a mismatched Stack Segment and Stack Pointer on any exception. Intel has not observed this erratum with any commercially available software, or system. 	 As recommended in the IA32 Intel® Architecture Software Developer’s Manual, the use of MOV SS/POP SS in conjunction with MOV [r/e]SP, [r/e]BP will avoid the failure since the MOV [r/e]SP, [r/e]BP will not generate a floating point exception. Developers of debug tools should be aware of the potential incorrect debug event signaling created by this erratum. 	  38  For the steppings affected, see the Summary Tables of Changes.   
  Code Segment Limit/Canonical Faults on RSM May be Serviced before Higher Priority Interrupts/Exceptions and May Push the Wrong Address Onto the Stack  	  Normally, when the processor encounters a Segment Limit or Canonical Fault due to code execution, a #GP (General Protection Exception) fault is generated after all higher priority Interrupts and exceptions are serviced. Due to this erratum, if RSM (Resume from System Management Mode) returns to execution flow that results in a Code Segment Limit or Canonical Fault, the #GP fault may be serviced before a higher priority Interrupt or Exception (e.g. NMI (Non-Maskable Interrupt), Debug break(#DB), Machine Check (#MC), etc.). If the RSM attempts to return to a noncanonical address, the address pushed onto the stack for this #GP fault may not match the non-canonical address that caused the fault.  	 Operating systems may observe a #GP fault being serviced before higher priority Interrupts and Exceptions. Intel has not observed this erratum on any commercially available software. 	 None identified. 	NA
  An xTPR Update Transaction Cycle, if Enabled, May be Issued to the FSB after the Processor has Issued a Stop-Grant Special Cycle  	  According to the FSB (Front Side Bus) protocol specification, no FSB cycles should be issued by the processor once a Stop-Grant special cycle has been issued to the bus. If xTPR update transactions are enabled by clearing the IA32_MISC_ENABLES[bit-23] at the time of Stop-Clock assertion, an xTPR update transaction cycle may be issued to the FSB after the processor has issued a Stop Grant Acknowledge transaction.  	 When this erratum occurs in systems using C-states C2 (Stop-Grant State) and higher the result could be a system hang. 	 BIOS must leave the xTPR update transactions disabled (default). 	  For the steppings affected, see the Summary Tables of Changes. 
  Processor May Report a #TS Instead of a #GP Fault  	  During system reset, there is insufficient time for handshake between ICH and GMCH LVDS logic. As a result, timing from panel backlight enable going low to LVDS data going low (TX) and timing from LVDS data going low to panel VCC enable going low (T3) do not match the programmed values. Panel backlight enable (LBKLT_EN), panel Vcc enable (LVDD_EN) and LVDS data lines go low at the same time.  	 A jump to a busy TSS (Task-State Segment) may cause a #TS (invalid TSS exception) instead of a #GP fault (general protection exception). 	 None. 	  14  For the steppings affected, see the Summary Tables of Changes.   
  Writing the Local Vector Table (LVT) when an Interrupt is Pending May Cause an Unexpected Interrupt  	  If a local interrupt is pending when the LVT entry is written, an interrupt may be taken on the new interrupt vector even if the mask bit is set.  	 An interrupt may immediately be generated with the new vector when a LVT entry is written, even if the new LVT entry has the mask bit set. If there is no Interrupt Service Routine (ISR) set up for that vector the system will GP fault. If the ISR does not do an End of Interrupt (EOI) the bit for the vector is left set in the in-service register and mask all interrupts at the same or lower priority. 	 Any vector programmed into an LVT entry must have an ISR associated with it, even if that vector was programmed as masked. This ISR routine must do an EOI to clear any unexpected interrupts that may occur. The ISR associated with the spurious vector does not generate an EOI; therefore the spurious vector should not be used when writing the LVT. 	  For the steppings affected, see the Summary Tables of Changes. 
